dimension,birth,death
0,1,3
1,1,3
0,1,7
1,5,7
1,7,11
1,13,15
1,13,15
1,13,15
1,17,19
1,15,19
1,17,19
1,17,19
1,17,21
1,19,21
1,17,21
1,19,23
1,21,23
1,19,23
1,23,25
1,19,25
1,23,27
1,11,27
1,19,27
1,25,27
1,23,27
1,23,29
1,23,29
1,29,31
1,29,31
1,29,33
1,31,33
1,11,33
1,31,33
1,33,35
1,27,35
1,33,35
1,33,35
1,35,37
1,33,37
1,29,39
1,39,41
1,35,41
1,37,41
1,41,43
1,27,43
1,43,45
1,39,45
1,25,45
1,37,47
1,43,49
1,31,51
1,39,55
1,41,59
1,57,59
1,61,63
1,53,65
1,63,65
0,1,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,47,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,63,66
1,65,66
1,65,66
1,65,66
1,65,66
1,61,66
1,65,66
1,65,66
1,65,66
1,51,66
1,65,66
1,65,66
1,65,66
1,65,66
1,63,66
1,65,66
1,63,66
1,65,66
1,63,66
2,59,66
1,63,64
0,64,65
1,63,64
0,64,65
1,55,64
1,57,64
1,63,64
1,63,64
1,63,64
1,59,64
1,63,64
1,64,66
1,64,66
1,64,66
1,64,65
1,64,66
1,47,62
1,61,62
1,61,62
1,62,64
1,62,63
1,62,63
1,62,64
1,57,60
1,59,60
1,60,62
1,60,61
1,60,62
1,60,62
1,60,64
1,55,58
1,43,58
1,58,61
1,58,62
1,55,56
1,51,56
1,53,56
1,56,59
1,56,60
1,56,57
1,41,54
1,53,54
1,54,59
1,54,57
1,54,56
1,54,55
1,51,52
1,52,62
1,52,53
1,52,53
1,52,54
1,52,53
1,52,55
1,52,53
1,52,53
1,52,53
1,52,53
1,52,56
1,49,50
1,45,50
1,49,50
1,43,48
1,41,48
1,48,52
1,39,46
1,45,46
1,46,57
1,43,44
1,44,45
1,44,45
1,44,45
1,44,45
1,44,46
1,44,47
1,44,48
1,35,42
1,37,42
1,41,42
1,33,42
1,37,42
1,37,42
1,42,53
1,42,43
1,42,45
1,42,43
1,42,51
1,37,40
1,39,40
1,39,40
1,40,43
1,35,38
1,37,38
1,35,38
1,35,38
1,37,38
1,35,38
1,37,38
1,35,36
1,35,36
1,35,36
1,35,36
1,35,36
1,35,36
1,33,36
1,33,36
1,36,39
1,36,38
1,36,38
1,36,37
1,36,43
2,35,36
1,36,37
1,36,59
1,36,37
2,35,36
1,33,34
1,33,34
1,33,34
1,33,34
1,33,34
1,21,34
1,33,34
1,31,34
1,33,34
1,33,34
1,33,34
1,21,34
1,33,34
1,31,34
1,34,37
1,34,35
1,34,39
1,34,41
1,34,43
1,34,35
1,34,35
0,32,33
1,31,32
1,31,32
1,31,32
1,31,32
1,31,32
1,31,32
1,31,32
1,29,32
1,27,32
1,29,32
1,31,32
1,25,32
1,31,32
1,29,32
1,31,32
1,27,32
1,15,32
1,25,32
1,21,32
1,23,32
1,27,32
1,31,32
1,29,32
1,23,32
1,21,32
1,31,32
1,19,32
1,32,36
1,32,35
1,32,33
1,32,33
1,32,34
1,32,33
1,29,30
1,29,30
1,27,30
1,25,30
1,13,30
1,19,30
1,21,30
1,21,30
1,30,32
1,30,36
1,30,31
1,27,28
1,27,28
1,27,28
1,27,28
1,27,28
1,21,28
