dimension,birth,death
0,1,3
0,1,3
0,1,3
0,1,3
1,1,3
1,1,3
1,1,5
1,1,5
1,5,7
1,5,7
1,3,7
1,5,9
1,5,9
1,11,13
1,11,13
1,13,15
1,13,15
1,15,17
2,15,17
1,15,19
1,21,23
2,17,23
1,17,25
1,21,25
1,19,25
1,25,27
1,27,29
1,27,29
1,27,29
1,27,29
1,27,31
1,29,31
1,31,33
1,33,35
1,31,35
1,27,37
1,35,37
1,35,37
1,35,37
1,35,39
1,31,39
1,39,41
1,27,43
1,39,47
1,39,49
1,41,51
1,35,53
1,49,55
1,45,57
0,1,66
1,65,66
1,65,66
1,65,66
1,63,66
1,65,66
1,61,66
1,65,66
1,65,66
1,65,66
1,63,66
1,59,66
1,59,66
1,39,66
1,65,66
1,33,66
1,59,66
1,63,66
4,65,66
4,55,66
4,53,66
1,63,64
1,47,64
1,35,64
2,63,64
1,64,66
1,64,65
1,64,66
1,64,66
4,63,64
4,33,64
1,37,62
1,61,62
1,41,62
1,59,62
1,62,66
1,62,66
1,59,60
1,59,60
1,51,60
1,60,62
1,60,62
1,60,61
1,33,58
1,57,58
1,29,58
1,58,59
1,58,60
1,58,64
1,58,61
4,39,58
4,41,58
1,25,56
1,56,62
1,56,59
1,56,61
2,49,56
1,56,63
4,55,56
1,15,54
1,51,54
1,29,54
1,54,55
1,54,57
1,54,57
1,54,63
1,54,57
1,54,57
1,31,52
1,52,66
1,50,53
1,47,48
1,47,48
1,45,48
1,47,48
1,48,50
1,48,49
2,48,51
1,45,46
1,43,46
1,21,46
1,35,46
1,46,53
1,46,47
1,41,44
1,39,44
1,44,47
1,44,47
1,44,53
1,44,53
1,35,42
1,19,42
1,42,51
1,42,45
1,42,50
4,37,42
1,37,40
1,35,40
1,29,40
1,40,41
1,40,46
1,40,47
2,40,43
4,25,40
1,37,38
1,33,38
1,37,38
1,33,38
1,35,38
1,38,40
1,38,47
4,37,38
4,37,38
4,37,38
4,25,38
1,35,36
1,35,36
1,33,36
1,29,36
1,35,36
1,31,36
1,35,36
1,36,50
1,36,37
1,33,34
1,33,34
1,27,34
1,33,34
1,33,34
1,33,34
1,33,34
1,27,34
1,34,35
1,34,35
1,34,39
1,34,35
1,34,66
1,34,37
1,34,35
2,33,34
1,34,35
4,33,34
1,19,32
1,31,32
1,31,32
1,29,32
1,21,32
1,19,32
1,32,33
1,32,34
2,32,33
4,31,32
1,29,30
1,21,30
1,17,30
1,17,30
1,13,30
1,30,32
1,30,31
1,30,34
1,30,31
1,30,32
1,30,33
1,30,31
1,30,35
1,30,57
1,30,33
4,29,30
1,27,28
1,27,28
1,27,28
1,21,28
1,13,28
1,27,28
1,25,28
1,28,31
1,28,33
1,28,32
1,28,29
1,28,31
1,28,29
4,27,28
4,25,28
1,25,26
1,25,26
1,23,26
1,23,26
1,25,26
1,26,32
1,26,29
1,26,29
1,26,30
1,26,32
4,25,26
1,23,24
1,23,24
1,23,24
1,24,26
1,24,25
1,24,32
1,24,34
1,24,31
1,24,25
1,24,25
1,24,28
2,23,24
2,21,24
2,24,25
1,21,22
1,19,22
1,22,32
1,22,24
1,22,27
1,22,23
4,21,22
4,21,22
4,21,22
4,21,22
1,19,20
1,17,20
1,15,20
1,19,20
1,17,20
1,20,21
1,20,21
1,20,21
1,20,23
1,20,27
2,20,22
1,13,18
1,17,18
1,15,18
1,17,18
1,18,19
1,18,21
1,18,24
1,18,21
1,18,21
1,15,16
1,15,16
1,15,16
1,9,16
1,16,27
1,16,32
1,16,17
1,16,19
1,16,19
1,16,17
1,16,17
1,16,21
1,16,25
1,16,18
4,5,16
4,7,16
1,13,14
1,13,14
1,11,14
1,14,15
1,14,18
1,14,19
1,14,16
1,14,15
1,14,21
1,14,21
1,14,15
2,13,14
1,14,19
1,14,15
1,14,15
2,14,17
4,13,14
1,11,12
1,9,12
1,9,12
1,12,13
1,12,13
1,12,14
1,12,13
4,11,12
4,11,12
4,1,12
0,10,11
1,9,10
1,9,10
1,5,10
1,10,13
1,10,11
1,10,13
1,10,11
1,10,13
4,7,10
4,5,10
4,7,10
1,3,8
1,7,8
1,5,8
1,8,9
1,8,15
2,7,8
1,8,15
1,8,9
1,8,9
1,8,9
4,5,8
4,1,8
0,6,7
0,6,7
1,6,7
1,6,7
1,6,7
1,6,9
1,6,11
1,6,8
1,6,7
1,6,7
1,6,7
4,5,6
4,1,6
1,3,4
0,4,5
0,4,5
1,3,4
1,4,5
2,3,4
2,3,4
1,4,5
1,4,5
2,3,4
2,4,6
4,3,4
4,3,4
4,1,4
1,1,2
1,1,2
1,1,2
0,2,5
1,1,2
0,2,5
1,1,2
1,1,2
1,2,3
1,2,3
1,2,3
1,2,5
1,2,5
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
