dimension,birth,death
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,1,5
1,1,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,1,5
1,1,5
1,3,5
1,3,5
1,3,5
1,3,5
1,1,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,1,5
1,3,5
1,5,7
1,3,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,5,7
1,1,7
2,5,7
1,7,9
1,5,9
1,7,9
1,7,9
1,7,9
1,7,9
1,3,9
1,7,9
1,7,9
1,7,9
1,7,9
1,3,9
1,7,9
1,7,9
1,7,9
1,7,9
1,7,9
1,1,9
1,5,9
1,7,9
1,7,9
1,1,9
1,7,9
1,7,9
1,9,11
1,9,11
1,9,11
1,9,11
1,9,11
1,9,11
1,9,11
1,9,11
1,9,11
1,9,11
1,9,11
1,7,11
1,9,11
1,9,11
1,9,11
1,9,11
1,11,13
1,11,13
1,11,13
1,11,13
1,11,13
1,9,13
1,11,13
1,11,13
1,11,13
1,7,13
1,11,13
1,5,13
1,5,13
1,5,13
1,11,13
1,11,13
1,11,13
1,11,13
1,11,13
1,11,13
1,9,13
1,11,13
1,1,13
1,11,13
1,1,13
1,5,13
1,9,13
1,11,13
1,11,13
1,11,13
1,9,13
1,11,13
1,11,13
1,9,13
1,11,13
1,11,13
1,11,15
1,13,15
1,13,15
1,13,15
1,9,15
1,13,15
1,13,15
1,13,15
1,11,15
1,13,15
1,13,15
1,13,15
1,11,15
1,13,15
1,15,17
1,15,17
1,15,17
1,15,17
1,15,17
1,15,17
1,15,17
1,15,17
1,15,17
1,15,17
1,13,17
1,15,17
1,13,17
1,17,19
1,13,19
1,17,19
1,13,19
1,13,19
1,15,19
1,17,19
1,17,19
1,15,19
1,19,21
1,19,21
1,19,21
1,17,21
1,15,21
1,19,21
1,19,21
1,13,21
1,19,21
1,17,21
1,13,21
1,17,21
1,17,21
1,19,21
1,19,21
1,7,21
1,7,21
1,15,21
1,17,21
1,21,23
1,19,23
1,21,23
1,21,23
1,21,23
1,19,23
1,11,25
1,23,25
1,23,25
1,21,25
1,25,27
1,15,27
1,25,29
1,25,29
2,27,29
1,29,31
1,29,31
1,31,33
1,33,35
1,33,35
1,33,35
1,33,35
1,33,35
1,33,35
1,33,35
1,33,37
1,35,37
1,39,41
1,39,41
1,39,41
1,39,41
1,41,45
1,41,45
1,41,45
2,43,47
1,47,49
2,45,49
1,49,51
1,49,53
1,49,55
1,53,55
1,55,57
1,55,59
1,55,59
1,57,61
1,59,61
1,59,61
1,61,63
1,61,63
1,61,63
1,57,63
1,37,65
1,63,65
1,61,65
1,63,65
1,63,65
1,63,65
0,1,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,59,66
1,63,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,63,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,61,66
1,65,66
1,63,66
1,65,66
1,65,66
1,61,66
1,65,66
1,65,66
1,65,66
1,61,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,45,66
1,65,66
1,65,66
1,65,66
1,61,66
1,65,66
1,65,66
1,65,66
1,65,66
1,63,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
2,65,66
2,65,66
4,65,66
4,65,66
4,65,66
4,65,66
4,65,66
4,57,66
4,65,66
1,63,64
1,63,64
0,64,65
1,63,64
0,64,65
0,64,65
1,61,64
1,61,64
0,64,65
1,63,64
1,63,64
1,63,64
1,61,64
1,63,64
1,61,64
1,63,64
1,63,64
1,61,64
1,61,64
1,63,64
1,63,64
0,64,65
1,63,64
1,63,64
1,53,64
1,61,64
1,64,66
1,64,65
1,64,65
1,64,65
1,64,65
1,64,66
1,64,65
1,64,65
1,64,66
1,64,66
1,64,66
1,64,65
1,64,65
1,64,66
1,64,66
1,64,66
2,63,64
1,64,66
1,64,66
1,64,65
1,64,66
1,64,66
1,64,65
1,64,65
1,64,65
1,64,65
1,64,65
1,64,65
1,64,65
1,64,66
1,64,66
2,63,64
4,63,64
4,47,64
4,49,64
1,61,62
1,61,62
1,61,62
1,61,62
1,61,62
1,39,62
1,61,62
1,33,62
0,62,63
1,61,62
1,61,62
1,62,64
1,62,64
1,62,64
1,62,63
1,62,63
1,62,63
1,62,63
1,62,63
1,62,66
1,62,64
1,62,63
1,62,64
1,62,63
1,62,64
1,62,63
1,62,63
1,62,64
1,62,66
1,62,63
1,62,63
1,62,65
1,62,64
1,62,63
1,62,66
1,62,66
1,62,64
1,62,63
1,62,64
1,62,64
1,62,64
1,62,63
1,62,66
1,62,64
1,62,64
1,62,63
1,62,64
2,61,62
1,62,64
2,61,62
1,62,66
1,62,66
2,61,62
1,62,64
1,62,66
1,62,63
1,62,66
1,62,65
2,62,64
4,61,62
4,61,62
4,47,62
1,59,60
1,43,60
1,33,60
1,59,60
1,59,60
1,60,63
1,60,66
1,60,63
1,60,64
1,60,63
1,60,64
1,60,66
1,60,63
1,60,62
1,60,61
1,60,64
1,60,64
1,60,61
1,60,61
1,60,63
1,60,61
