dimension,birth,death
1,1,3
1,1,3
1,1,3
1,1,3
1,1,3
1,3,5
1,1,5
1,3,5
1,1,5
1,1,5
1,3,5
1,3,5
1,3,5
1,1,5
1,1,5
1,3,5
1,5,7
1,5,7
1,1,7
1,5,7
1,5,7
1,3,7
1,3,7
0,1,9
1,7,9
1,5,9
1,9,11
1,9,11
1,9,11
1,9,11
1,9,11
1,11,13
1,9,13
1,5,13
1,11,13
1,13,15
1,13,15
1,13,15
1,11,15
1,13,15
1,7,15
1,13,15
1,13,15
1,13,15
2,13,15
1,15,17
1,15,17
1,15,17
1,15,17
1,17,19
1,15,19
1,17,19
1,19,21
1,19,21
1,19,21
1,17,21
1,19,21
1,19,21
1,19,21
1,19,21
1,21,23
1,19,23
1,21,23
1,21,23
1,21,23
1,23,25
1,23,25
1,23,25
1,21,25
1,23,25
1,25,27
1,21,29
1,25,31
1,23,31
1,25,33
1,31,33
1,29,33
1,29,33
1,31,33
1,31,33
1,31,33
1,31,35
1,31,35
1,25,35
1,33,35
1,33,35
1,23,37
1,37,39
1,37,39
1,37,39
1,37,39
1,27,39
2,37,39
1,33,41
1,39,41
1,41,43
1,41,43
1,39,43
1,41,43
1,41,43
1,29,43
1,23,43
1,41,47
1,43,47
1,23,49
1,39,51
1,47,53
2,55,57
1,55,59
1,53,59
1,59,61
2,47,61
0,1,66
1,65,66
1,65,66
1,61,66
1,51,66
1,65,66
1,65,66
2,65,66
4,65,66
4,65,66
4,65,66
4,49,66
4,45,66
4,49,66
4,47,66
4,65,66
4,65,66
0,64,65
1,61,64
1,59,64
0,64,65
1,57,64
1,55,64
1,63,64
1,59,64
1,63,64
1,64,66
1,64,65
1,64,65
1,64,65
1,64,66
1,64,66
1,64,65
4,63,64
4,63,64
4,59,64
4,63,64
4,59,64
4,63,64
4,63,64
4,59,64
4,63,64
4,63,64
4,63,64
4,59,64
1,61,62
1,61,62
1,61,62
1,61,62
1,62,63
1,62,66
1,62,65
1,62,64
1,62,63
1,62,63
4,61,62
4,47,62
4,47,62
4,59,62
4,61,62
1,57,60
1,57,60
1,59,60
1,53,60
1,55,60
1,60,61
1,60,66
1,60,65
4,59,60
4,59,60
4,59,60
4,43,60
1,57,58
1,58,61
1,58,60
1,58,62
1,58,61
4,57,58
4,55,58
4,55,58
4,55,58
4,57,58
1,55,56
1,55,56
2,51,56
1,56,58
1,56,57
1,56,58
4,55,56
4,49,56
1,53,54
1,53,54
1,53,54
1,54,56
1,54,56
1,54,55
1,54,56
1,54,55
1,54,60
1,52,64
1,52,53
1,52,58
1,52,62
2,51,52
1,52,53
4,51,52
1,49,50
1,49,50
1,47,50
1,49,50
1,50,51
1,50,51
1,50,65
1,50,51
1,50,55
4,45,50
4,41,50
1,47,48
1,45,48
1,48,49
2,45,48
1,48,49
1,48,49
4,47,48
4,47,48
1,45,46
1,45,46
1,46,55
1,46,48
1,46,50
1,46,49
1,46,51
1,46,47
1,46,48
4,43,46
4,41,46
4,45,46
4,37,46
1,43,44
1,43,44
1,43,44
1,37,44
2,43,44
1,44,48
1,44,47
1,44,64
1,44,64
2,43,44
1,44,62
1,44,52
1,44,47
1,44,45
1,44,45
1,44,45
1,44,45
4,43,44
4,43,44
0,42,47
1,41,42
1,27,42
1,42,44
1,42,45
1,42,45
1,42,45
1,42,51
1,42,43
1,39,40
1,35,40
1,23,40
1,35,40
0,40,41
1,31,40
1,35,40
1,37,40
1,39,40
1,40,42
1,40,43
1,40,43
1,40,43
1,40,45
1,40,43
1,40,43
1,40,43
1,40,41
1,40,61
4,39,40
1,37,38
1,37,38
1,35,38
1,25,38
1,35,38
1,37,38
1,27,38
1,35,38
1,38,40
1,38,40
1,38,40
1,38,42
1,38,39
1,38,39
1,38,40
1,38,44
1,38,43
1,38,41
1,38,42
4,35,38
4,37,38
4,29,38
1,31,36
1,31,36
1,35,36
1,35,36
1,31,36
1,36,39
1,36,38
1,36,37
1,36,39
2,35,36
2,36,37
4,33,36
4,35,36
4,35,36
4,25,36
1,33,34
1,33,34
1,33,34
1,33,34
1,31,34
1,31,34
1,31,34
1,33,34
1,33,34
1,34,35
1,34,36
1,34,37
1,34,35
1,34,37
1,34,36
1,34,37
1,34,35
1,34,38
1,34,35
1,34,47
1,34,35
1,34,35
1,34,35
4,25,34
4,33,34
4,33,34
1,31,32
1,31,32
1,31,32
1,31,32
1,31,32
1,29,32
1,29,32
1,29,32
1,31,32
1,31,32
1,31,32
1,31,32
1,31,32
1,31,32
1,32,36
1,32,33
1,32,33
1,32,66
1,32,34
1,32,34
1,32,41
1,32,35
1,32,33
1,32,33
1,32,35
1,32,35
4,31,32
4,29,32
1,29,30
1,29,30
1,29,30
1,29,30
1,27,30
1,23,30
1,23,30
1,29,30
1,29,30
1,27,30
1,27,30
1,27,30
1,25,30
1,30,32
1,30,37
1,30,31
1,30,31
1,30,32
1,30,33
1,30,31
1,30,31
1,30,31
4,29,30
4,29,30
1,21,28
1,25,28
1,27,28
1,27,28
1,27,28
1,27,28
1,27,28
1,27,28
1,27,28
1,25,28
1,25,28
1,27,28
1,27,28
1,27,28
1,21,28
1,25,28
1,27,28
1,27,28
1,27,28
1,27,28
1,28,29
1,28,30
1,28,39
1,28,29
1,28,29
1,28,29
1,28,40
1,28,31
1,28,29
1,28,29
1,28,30
1,28,30
1,28,32
1,28,31
2,27,28
1,25,26
1,25,26
1,23,26
1,25,26
1,25,26
1,25,26
1,25,26
1,25,26
1,25,26
1,25,26
1,25,26
1,25,26
1,26,43
1,26,33
1,26,27
1,26,28
1,26,28
2,25,26
1,26,41
1,26,27
1,26,28
1,26,31
1,26,29
1,26,42
1,26,31
2,25,26
4,25,26
4,15,26
