dimension,birth,death
0,1,3
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,5,7
1,3,7
1,5,7
1,3,7
1,5,7
1,3,7
1,5,7
1,5,7
1,7,9
1,7,9
1,7,9
1,11,13
1,11,13
1,11,13
1,9,13
1,11,13
1,11,15
1,13,15
1,7,15
1,17,19
1,17,19
1,17,19
1,17,19
1,17,19
1,17,21
1,17,21
1,19,21
1,17,21
1,21,23
1,23,25
1,23,25
1,17,25
1,21,25
1,21,25
1,21,25
1,21,25
1,23,27
1,25,27
1,25,27
1,27,29
1,27,29
1,23,29
1,27,29
1,27,29
1,27,29
1,27,29
1,29,31
1,17,31
1,29,31
1,27,31
1,27,31
1,31,33
1,31,33
1,29,33
1,27,35
1,31,35
1,33,35
1,29,37
1,33,37
1,35,37
1,33,37
1,27,37
1,37,39
1,35,39
1,35,39
1,37,39
1,37,39
1,37,39
1,37,41
1,37,41
1,35,41
1,39,41
1,35,41
1,37,41
1,37,41
1,39,41
1,37,41
1,35,41
1,37,41
1,37,41
1,31,41
1,37,43
1,35,43
1,37,43
1,31,43
1,43,45
1,43,45
1,33,45
1,17,45
1,43,45
1,29,49
1,45,53
1,53,55
1,51,55
1,41,55
1,49,55
1,55,59
1,57,59
1,57,59
1,57,59
1,55,63
1,47,63
1,63,65
1,49,65
1,23,65
0,1,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,63,64
1,63,64
1,63,64
1,63,64
0,64,65
0,64,65
1,51,64
1,51,64
1,51,64
0,64,65
1,55,64
1,35,64
0,64,65
0,64,65
0,64,65
0,64,65
1,57,64
1,37,64
0,64,65
1,63,64
1,55,64
1,63,64
1,61,64
1,63,64
1,63,64
1,63,64
1,63,64
1,64,66
1,64,66
1,64,66
1,64,65
1,64,65
1,64,66
1,51,62
1,61,62
1,62,64
1,62,65
1,62,65
1,62,64
2,57,62
1,59,60
1,41,60
1,53,58
1,57,58
1,47,58
1,53,58
1,58,64
1,58,62
1,58,61
1,58,59
1,58,64
1,58,64
1,58,65
1,58,65
2,55,58
1,58,61
1,41,56
1,33,56
1,56,62
1,56,60
1,56,58
1,56,64
1,56,64
1,56,57
1,56,62
1,51,54
1,49,54
1,51,54
1,47,54
1,54,57
1,54,66
1,54,55
1,54,59
1,51,52
1,51,52
1,51,52
1,52,54
1,52,53
1,52,66
1,52,57
1,49,50
1,49,50
1,50,57
1,50,53
1,47,48
1,47,48
1,41,48
1,47,48
1,47,48
1,48,51
1,48,51
1,48,53
1,46,49
1,46,48
1,46,50
1,46,52
1,46,52
1,46,49
1,46,47
1,46,55
1,46,48
1,46,47
1,46,47
1,43,44
1,41,44
1,35,44
1,43,44
1,33,44
1,37,44
1,37,44
1,44,64
1,44,47
1,44,45
1,44,47
1,44,45
1,44,45
1,35,42
1,35,42
1,42,44
1,42,45
1,42,46
1,42,43
1,42,47
1,42,45
1,39,40
1,39,40
1,35,40
1,37,40
1,33,40
1,39,40
1,40,45
1,40,43
1,40,43
1,40,43
1,40,41
1,40,41
1,40,59
1,40,45
1,37,38
1,37,38
1,37,38
1,35,38
1,35,38
1,37,38
1,33,38
1,33,38
1,31,38
1,37,38
1,37,38
1,38,39
1,38,45
1,38,39
1,38,39
1,38,56
1,38,51
1,35,36
1,35,36
1,35,36
1,35,36
1,35,36
1,29,36
1,35,36
1,33,36
1,35,36
1,33,36
1,31,36
1,33,36
1,33,36
1,35,36
1,33,36
1,33,36
1,35,36
1,36,39
1,33,34
1,33,34
1,33,34
1,33,34
1,33,34
1,33,34
1,33,34
1,31,34
1,31,34
1,31,34
1,25,34
1,31,34
1,33,34
1,33,34
1,31,34
1,33,34
1,31,34
1,33,34
1,31,34
1,31,34
1,33,34
1,33,34
1,33,34
1,33,34
1,33,34
1,31,34
1,31,34
1,33,34
1,34,35
1,34,36
1,34,36
1,34,41
1,34,36
1,34,37
1,31,32
1,31,32
1,31,32
1,31,32
1,31,32
1,29,32
1,31,32
1,25,32
1,31,32
1,29,32
1,31,32
1,27,32
1,27,32
1,23,32
1,29,32
1,29,32
1,31,32
1,29,32
1,31,32
1,32,34
1,32,33
1,32,34
1,32,34
1,32,34
1,29,30
1,29,30
1,29,30
1,29,30
1,27,30
0,30,31
1,27,30
1,27,30
1,21,30
1,29,30
1,21,30
1,29,30
1,21,30
1,29,30
1,25,30
1,29,30
1,21,30
1,27,30
1,29,30
1,19,30
1,29,30
1,29,30
1,29,30
1,29,30
1,27,30
1,27,30
1,29,30
1,29,30
1,29,30
1,29,30
1,25,30
1,30,33
1,30,34
1,30,31
2,29,30
1,30,31
1,30,31
1,30,31
1,30,45
1,30,31
1,30,31
1,25,28
1,27,28
1,27,28
1,27,28
1,25,28
1,21,28
1,21,28
1,27,28
1,25,28
1,27,28
1,19,28
1,27,28
1,27,28
1,27,28
1,28,33
1,28,34
1,28,30
1,28,38
1,28,29
1,28,32
1,28,34
1,28,64
1,28,29
2,27,28
1,25,26
1,25,26
1,25,26
1,19,26
1,23,26
1,25,26
1,25,26
1,25,26
1,25,26
1,25,26
1,25,26
1,19,26
1,26,34
1,26,28
1,26,58
1,26,35
1,26,28
1,26,39
1,26,28
1,26,28
1,26,27
2,25,26
1,26,29
1,26,65
1,26,28
1,26,27
1,23,24
1,23,24
1,23,24
1,23,24
1,21,24
1,21,24
1,23,24
1,21,24
1,21,24
1,21,24
1,19,24
1,23,24
1,23,24
1,21,24
1,24,28
1,24,28
1,24,26
1,24,25
1,24,29
1,24,25
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,17,22
1,19,22
1,21,22
1,21,22
1,21,22
1,19,22
1,21,22
1,21,22
1,21,22
1,19,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,21,22
1,17,22
1,21,22
1,22,24
1,22,23
1,22,24
1,22,27
1,22,23
1,22,25
2,21,22
1,22,33
1,19,20
1,19,20
0,20,21
1,19,20
1,17,20
1,17,20
1,17,20
1,19,20
1,19,20
1,19,20
1,19,20
1,17,20
1,9,20
1,19,20
1,19,20
1,17,20
1,17,20
1,19,20
1,17,20
1,20,22
1,20,22
1,20,22
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,15,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,17,18
1,18,20
1,18,19
1,18,26
1,18,19
1,18,28
1,18,20
1,18,22
1,18,20
1,18,24
1,18,40
1,18,22
1,18,21
1,18,33
1,18,22
1,18,19
1,18,20
1,18,24
0,16,17
1,15,16
1,15,16
1,15,16
0,16,17
1,15,16
1,15,16
1,13,16
1,13,16
1,15,16
1,11,16
1,15,16
1,15,16
1,15,16
1,16,17
1,16,18
1,16,18
1,16,18
1,16,22
1,16,18
1,16,22
1,16,18
1,16,17
1,16,18
1,16,27
1,16,19
1,16,25
1,16,17
1,16,17
1,16,18
1,16,17
1,16,17
1,16,17
1,16,17
2,16,26
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,13,14
1,5,14
1,14,18
1,14,15
1,14,16
1,14,15
1,14,17
1,14,19
1,14,15
1,14,15
2,13,14
2,13,14
2,13,14
2,13,14
1,14,15
1,11,12
1,11,12
0,12,13
1,11,12
1,11,12
1,11,12
1,11,12
0,12,13
1,11,12
1,9,12
1,11,12
1,9,12
1,11,12
1,7,12
1,11,12
1,9,12
1,3,12
1,12,14
1,12,13
1,12,14
1,12,13
1,12,13
1,12,15
1,12,13
1,12,13
1,12,13
1,12,13
1,12,14
1,12,13
1,12,19
1,12,13
1,12,13
1,12,13
1,12,13
1,9,10
1,9,10
1,9,10
1,9,10
1,9,10
1,3,10
1,9,10
1,10,12
1,10,12
1,10,11
1,10,13
1,10,12
1,10,11
1,10,11
1,10,11
1,10,12
1,10,11
1,10,14
1,10,11
1,10,11
1,10,14
1,10,11
1,10,11
1,10,11
1,10,12
2,9,10
1,10,13
1,7,8
1,7,8
1,7,8
1,7,8
1,7,8
1,7,8
1,7,8
1,5,8
1,7,8
1,5,8
1,7,8
1,8,12
1,8,10
1,8,9
1,8,9
1,8,22
1,8,9
1,8,9
1,8,9
1,8,9
1,8,9
2,7,8
1,8,13
