dimension,birth,death
0,1,3
1,5,7
1,15,17
1,17,23
1,21,39
1,53,55
0,1,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,63,66
1,63,66
1,65,66
1,57,66
1,65,66
1,65,66
1,65,66
1,63,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,65,66
1,55,66
1,65,66
1,65,66
1,65,66
1,65,66
1,63,64
1,63,64
0,64,65
1,57,64
1,57,64
1,61,64
1,61,64
1,63,64
1,59,64
1,63,64
1,39,64
0,64,65
1,63,64
1,63,64
1,57,64
0,64,65
0,64,65
1,63,64
1,59,64
1,55,64
1,63,64
1,53,64
0,64,65
1,43,64
1,51,64
1,63,64
1,61,64
0,64,65
1,45,64
1,43,64
0,64,65
1,63,64
1,45,64
1,61,64
1,53,64
1,59,64
1,57,64
1,63,64
1,57,62
0,62,63
1,45,62
1,39,62
1,61,62
1,53,62
1,55,62
1,43,62
1,37,62
1,57,62
1,61,62
0,62,63
1,53,62
1,59,62
1,37,62
1,61,62
1,59,60
1,59,60
0,60,61
1,59,60
1,59,60
1,59,60
1,57,60
1,59,60
1,57,58
1,55,58
1,55,58
1,51,58
1,47,58
1,51,58
1,57,58
1,49,58
1,57,58
1,58,62
1,55,56
1,43,56
1,55,56
1,47,56
1,51,56
1,43,56
1,41,56
1,53,54
1,51,54
1,53,54
1,47,54
1,53,54
1,53,54
1,51,54
1,53,54
0,54,55
1,51,54
1,51,54
1,47,54
1,49,52
1,47,52
1,43,52
1,39,52
1,49,52
1,47,52
1,51,52
1,49,52
1,49,52
1,43,52
1,49,50
1,49,50
1,49,50
1,49,50
1,47,50
1,47,50
1,45,50
1,43,50
1,47,48
0,48,61
1,35,48
1,41,48
1,47,48
1,48,50
1,41,46
1,45,46
1,37,46
1,37,46
1,41,46
1,41,44
1,37,44
1,39,44
1,41,44
1,37,44
1,39,44
1,35,44
1,37,44
1,41,42
1,41,42
1,39,42
1,37,42
1,35,42
0,42,43
1,42,53
1,39,40
1,39,40
1,37,40
1,35,40
1,37,40
1,39,40
1,37,40
1,37,40
1,37,40
1,35,40
1,35,40
1,37,38
1,33,38
1,35,38
1,37,38
1,35,38
1,35,38
1,35,38
1,31,38
1,35,38
1,35,36
1,33,36
1,33,36
1,35,36
1,33,36
1,31,36
1,33,36
1,33,36
1,27,36
1,35,36
1,33,36
1,35,36
1,35,36
1,31,36
1,29,36
1,35,36
1,29,36
1,33,34
1,33,34
0,34,35
1,33,34
1,31,34
1,31,34
0,34,35
1,29,34
1,31,34
1,31,34
1,33,34
1,31,34
1,33,34
1,31,34
1,29,34
1,33,34
1,33,34
1,31,34
1,29,34
1,27,34
1,33,34
1,31,32
1,31,32
1,31,32
1,31,32
1,29,32
1,29,32
1,31,32
1,29,32
1,29,32
1,29,32
1,27,32
1,31,32
1,31,32
1,29,32
1,29,30
1,29,30
1,29,30
1,29,30
1,29,30
1,29,30
1,27,30
1,27,30
0,30,31
1,29,30
1,19,30
1,29,30
1,29,30
1,29,30
1,27,30
1,27,30
0,30,31
1,19,30
1,27,30
1,29,30
1,27,30
1,27,28
1,27,28
1,27,28
1,27,28
1,27,28
1,25,28
1,27,28
1,25,28
1,27,28
1,25,28
1,27,28
1,27,28
0,28,29
1,25,28
1,23,28
1,25,28
1,27,28
1,19,28
0,28,29
1,27,28
1,27,28
1,27,28
1,23,28
1,28,32
1,25,26
1,23,26
1,23,26
1,23,26
1,23,26
1,21,26
1,23,26
1,23,26
1,21,26
0,26,27
1,25,26
1,25,26
1,25,26
1,23,26
1,25,26
1,25,26
1,19,26
1,25,26
1,25,26
1,25,26
1,19,26
1,26,28
1,23,24
1,23,24
1,23,24
1,23,24
1,21,24
1,21,24
0,24,25
1,21,24
1,19,24
0,24,25
1,21,24
1,21,24
