dimension,birth,death
1,1,3
1,1,3
1,1,3
1,1,3
1,3,5
1,3,5
1,1,5
1,1,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,3,5
1,1,5
1,3,5
1,1,5
1,3,5
1,3,5
1,1,5
1,3,7
1,5,7
1,5,7
1,5,7
1,1,7
1,3,7
1,1,7
1,3,7
1,5,7
1,3,7
1,5,9
1,5,9
1,7,9
1,1,9
1,7,9
1,3,11
1,9,11
1,9,11
1,7,11
1,9,11
1,9,11
1,1,11
1,7,11
1,9,11
1,9,11
1,7,11
1,7,11
1,9,11
1,9,11
1,1,11
1,9,13
1,7,13
1,11,13
1,11,13
1,9,13
1,13,15
1,11,15
1,13,15
1,11,15
1,1,15
1,13,15
1,13,15
1,1,15
1,1,17
1,15,17
1,9,17
1,15,17
1,15,17
1,13,19
1,15,19
1,17,19
1,17,19
1,19,21
1,13,21
1,13,21
1,19,21
1,21,23
1,21,23
1,17,23
1,21,23
1,21,23
1,19,23
1,23,25
1,21,25
1,19,25
1,23,25
1,17,25
1,25,27
1,25,27
1,25,27
1,21,27
1,23,27
1,23,27
1,27,29
1,27,29
1,25,29
1,27,29
1,27,29
1,27,29
1,27,29
1,23,29
1,29,31
1,29,31
1,29,31
1,29,33
1,31,33
1,29,33
1,23,33
1,31,33
1,31,33
1,31,33
1,33,35
1,25,35
1,29,35
1,29,35
1,29,35
1,25,35
1,33,35
1,27,37
1,35,37
1,35,37
1,31,37
1,29,37
1,37,39
1,17,39
1,37,39
1,13,39
1,29,39
1,35,41
1,37,41
1,33,41
1,39,41
1,37,43
1,37,43
1,39,43
1,41,45
1,45,47
1,47,49
1,39,49
1,31,49
1,41,49
1,47,49
1,45,51
1,53,55
1,47,55
1,53,57
1,57,59
1,55,59
1,55,59
1,51,61
1,55,61
1,51,61
1,59,61
1,59,61
1,47,61
1,59,61
1,45,63
1,53,63
1,57,63
1,63,65
1,63,65
1,49,65
0,1,66
1,65,66
1,57,66
1,59,66
1,65,66
1,59,66
1,61,66
1,45,66
1,65,66
1,65,66
1,63,66
2,65,66
2,65,66
2,65,66
2,65,66
4,63,66
4,65,66
1,63,64
1,63,64
1,63,64
1,63,64
1,63,64
2,63,64
1,64,66
1,64,65
1,64,66
1,64,65
1,64,66
1,64,66
1,64,66
1,64,66
1,64,66
1,64,65
2,63,64
1,64,66
1,64,65
1,64,66
1,59,62
1,61,62
1,61,62
1,61,62
1,57,62
1,57,62
1,62,66
1,62,66
1,62,66
1,62,64
2,59,62
1,45,60
1,59,60
1,59,60
1,60,64
2,59,60
1,60,65
1,60,66
1,60,62
1,60,61
1,60,63
1,60,66
1,60,66
1,60,61
4,57,60
1,57,58
1,57,58
1,55,58
1,58,60
1,58,60
1,58,59
1,58,63
1,58,66
1,58,59
1,58,66
1,58,64
1,58,66
1,58,64
1,58,64
1,58,64
2,57,58
1,58,65
1,43,56
1,55,56
1,55,56
1,56,57
1,56,66
1,56,66
1,56,60
1,56,59
1,56,59
1,56,65
1,51,54
1,49,54
1,53,54
1,53,54
1,51,54
1,51,54
1,54,56
1,54,59
1,54,59
1,54,57
1,54,56
1,49,52
1,43,52
2,49,52
1,52,57
1,52,59
1,52,55
1,52,57
1,52,59
1,41,50
1,50,58
1,50,61
1,50,59
1,50,51
1,50,59
1,50,56
1,50,65
1,45,48
1,47,48
1,48,52
1,48,49
1,45,46
1,45,46
1,45,46
1,43,46
1,46,66
1,46,49
1,46,57
1,46,61
1,41,44
1,43,44
1,43,44
1,41,44
1,37,44
1,41,44
1,44,48
1,44,55
1,44,47
1,44,59
1,44,45
1,44,59
1,44,50
1,44,64
1,44,66
1,44,65
1,44,46
2,43,44
4,41,44
1,39,42
1,41,42
1,41,42
1,41,42
1,41,42
1,27,42
1,42,49
1,42,43
1,42,43
1,42,43
1,42,43
1,42,47
1,42,49
1,42,66
1,42,43
1,42,66
1,42,56
1,39,40
1,39,40
1,39,40
1,39,40
1,33,40
1,39,40
1,37,40
1,40,46
1,40,43
1,40,44
1,40,47
1,40,42
1,40,45
1,40,43
2,39,40
1,40,43
1,40,41
1,40,59
1,40,50
1,40,45
1,40,42
2,40,42
1,37,38
1,37,38
1,33,38
1,33,38
1,35,38
1,37,38
1,19,38
1,35,38
1,37,38
1,38,41
1,38,51
1,38,40
1,38,40
1,38,41
1,38,40
1,38,42
1,38,42
1,38,40
1,35,36
1,35,36
1,35,36
1,35,36
1,33,36
1,19,36
1,33,36
1,35,36
1,35,36
1,33,36
1,36,46
1,36,40
1,36,41
2,35,36
2,35,36
1,36,38
1,36,43
1,36,47
1,36,42
1,36,49
1,36,38
1,36,41
1,36,40
1,36,66
1,36,38
1,36,41
1,36,39
2,35,36
1,36,38
1,33,34
1,33,34
1,33,34
1,33,34
1,33,34
1,31,34
1,31,34
1,33,34
1,33,34
1,34,37
1,34,38
1,34,41
1,34,35
1,34,66
1,34,62
1,34,39
1,34,35
1,34,43
1,34,41
1,34,35
1,34,39
1,34,38
1,34,40
1,34,43
1,34,63
1,34,35
1,34,38
1,34,37
1,31,32
1,31,32
1,32,33
1,32,35
1,32,37
1,32,35
1,32,35
2,31,32
1,32,33
1,32,34
1,32,34
1,32,39
1,32,43
1,32,33
1,32,38
1,32,39
2,29,32
1,29,30
1,29,30
1,29,30
1,27,30
1,30,35
1,30,32
1,30,32
1,30,34
1,30,38
1,30,32
1,30,31
1,30,32
1,30,39
1,30,32
1,30,31
1,30,34
1,30,53
1,30,31
2,29,30
1,27,28
1,27,28
1,21,28
1,27,28
1,27,28
1,25,28
1,25,28
1,27,28
1,15,28
1,27,28
1,27,28
1,27,28
1,25,28
1,28,31
1,28,30
1,28,31
