dimension,birth,death
1,3,5
1,3,5
1,3,5
1,3,5
1,5,7
1,5,7
1,3,9
1,7,9
1,5,9
1,5,9
1,5,9
1,5,9
1,7,9
1,9,11
1,7,11
1,7,11
1,9,11
1,7,11
1,9,11
1,11,13
1,11,13
1,11,13
1,9,15
1,13,15
1,15,19
1,11,19
1,15,19
1,17,19
1,17,19
1,19,21
1,15,21
1,17,21
1,17,21
1,17,23
1,21,23
1,21,23
1,23,25
1,19,25
1,23,25
1,23,25
1,11,25
1,25,27
1,25,27
1,25,27
1,25,27
1,15,27
2,25,27
1,27,29
1,25,29
1,25,29
1,27,29
1,29,31
1,29,31
1,29,31
1,25,31
1,27,31
1,29,31
1,29,33
1,17,33
1,29,33
1,35,37
1,39,43
1,41,43
1,27,43
1,43,45
1,25,45
1,39,45
1,45,47
1,43,47
1,39,49
1,47,49
2,47,49
1,45,51
1,47,53
1,51,55
1,51,55
1,45,55
1,37,55
1,15,59
0,1,64
1,63,64
1,41,64
1,63,64
1,55,64
1,53,64
1,63,64
1,23,64
1,53,64
1,21,64
1,57,64
2,59,64
2,53,64
4,59,64
1,61,62
1,61,62
1,62,64
1,62,64
1,62,64
1,62,64
1,62,64
1,62,64
1,62,64
1,62,64
1,62,64
1,49,60
2,59,60
1,60,64
1,60,64
1,60,63
1,60,63
1,60,63
1,60,63
1,55,58
1,55,58
1,58,59
1,49,56
1,51,56
1,56,59
1,56,64
1,56,59
1,56,64
1,56,64
4,55,56
1,53,54
1,25,54
1,54,57
1,54,59
1,54,59
1,54,64
1,54,55
1,54,61
1,49,52
1,51,52
2,43,52
1,52,59
1,50,51
1,50,53
1,50,64
2,50,51
1,47,48
1,45,48
1,48,64
1,48,49
1,48,53
1,46,64
1,46,48
2,45,46
1,46,64
1,46,57
1,41,44
1,43,44
1,44,47
1,44,47
1,44,64
1,44,50
1,44,47
1,31,42
1,42,43
1,42,64
1,42,43
1,42,45
1,42,50
1,42,54
1,42,55
1,42,64
1,33,40
1,40,43
2,39,40
1,40,41
1,40,41
1,40,64
1,40,41
1,37,38
1,31,38
1,27,38
1,37,38
1,38,64
1,38,41
1,38,64
1,38,39
1,38,39
1,38,41
1,38,39
1,35,36
1,31,36
1,36,38
1,36,42
1,36,37
1,36,37
1,36,37
1,36,41
1,36,38
1,36,37
1,36,38
1,36,39
1,36,64
2,27,36
1,36,37
1,36,39
1,36,57
1,36,37
1,31,34
1,34,37
1,34,37
1,34,37
1,34,64
1,34,37
1,34,37
1,34,39
1,34,41
1,34,42
1,34,37
1,34,41
1,34,37
1,34,39
1,34,35
1,34,36
1,34,38
1,34,37
4,31,34
1,27,32
1,32,35
1,32,40
1,32,37
1,32,35
1,32,35
1,32,35
1,32,38
1,32,55
1,32,33
1,32,35
1,32,35
1,32,64
2,31,32
1,32,33
4,31,32
1,7,30
1,30,39
1,30,31
1,30,31
1,30,33
1,30,31
1,30,33
1,30,33
1,30,59
1,30,33
1,30,33
1,30,31
1,30,31
1,27,28
1,23,28
1,25,28
1,27,28
1,28,42
1,28,55
1,28,29
1,28,31
1,28,32
1,28,48
1,28,30
1,28,42
1,28,51
1,28,29
1,28,31
1,28,31
2,27,28
1,28,29
4,27,28
1,21,26
1,23,26
1,26,64
1,26,31
1,26,29
1,26,31
2,25,26
2,25,26
1,26,29
2,25,26
1,26,32
1,26,28
1,26,34
1,26,27
1,26,28
1,26,27
1,26,43
2,25,26
2,25,26
1,26,29
1,26,28
1,23,24
1,23,24
1,23,24
1,21,24
1,21,24
1,19,24
1,21,24
1,24,25
1,24,61
1,24,27
1,24,27
1,24,27
1,24,27
1,24,27
1,24,25
1,24,27
1,24,38
1,24,47
1,24,30
1,24,29
1,24,25
1,24,25
1,24,33
1,24,33
1,24,31
1,24,27
4,23,24
1,21,22
1,21,22
1,22,24
1,22,25
1,22,26
1,22,23
1,22,26
1,22,35
1,22,29
1,22,25
1,22,24
1,22,27
1,22,29
1,22,27
2,21,22
1,22,25
1,22,24
1,22,23
1,22,25
1,22,23
1,22,24
1,22,31
1,22,23
1,22,23
1,22,23
1,22,25
2,21,22
1,22,25
2,22,24
4,21,22
1,19,20
1,11,20
1,19,20
1,19,20
1,7,20
1,20,25
1,20,21
1,20,21
1,20,23
2,19,20
1,20,29
1,20,28
1,20,23
1,20,21
1,20,21
1,20,23
1,20,21
1,20,21
1,20,27
1,20,26
2,19,20
1,20,21
1,20,21
1,20,25
4,19,20
1,17,18
1,17,18
1,15,18
1,17,18
1,17,18
1,17,18
1,18,21
1,18,25
1,18,23
1,18,19
1,18,21
1,18,19
2,17,18
1,18,19
1,18,19
1,18,20
1,18,24
1,18,21
1,18,31
1,18,27
2,17,18
1,18,19
1,18,25
2,17,18
2,17,18
1,18,19
1,18,21
1,18,19
1,18,27
1,18,19
1,18,31
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,15,16
1,13,16
1,15,16
1,16,17
1,16,20
1,16,20
1,16,19
2,15,16
1,16,20
1,16,20
1,16,17
1,16,18
1,16,17
1,16,19
1,16,21
1,16,17
1,16,17
1,16,20
1,16,17
1,16,17
4,15,16
4,15,16
1,13,14
1,13,14
0,14,15
1,13,14
1,11,14
1,13,14
1,13,14
1,14,17
1,14,17
1,14,17
1,14,17
1,14,17
1,14,18
1,14,15
1,14,19
1,14,15
1,14,15
1,14,15
1,14,16
1,14,15
1,14,15
1,14,25
1,14,21
1,14,17
1,14,15
1,14,17
1,14,15
2,13,14
1,14,20
1,14,21
1,14,16
1,14,15
1,14,17
4,13,14
1,11,12
1,11,12
1,9,12
1,9,12
1,11,12
1,11,12
1,9,12
2,11,12
1,12,17
1,12,16
1,12,14
1,12,13
1,12,13
1,12,13
1,12,14
1,12,15
1,12,19
1,12,19
1,12,18
4,11,12
4,11,12
4,11,12
4,9,12
1,7,10
1,9,10
1,9,10
1,9,10
1,9,10
1,9,10
1,9,10
1,7,10
1,7,10
1,9,10
1,9,10
1,10,11
1,10,11
1,10,12
1,10,13
1,10,11
1,10,11
1,10,11
2,9,10
1,10,12
1,10,31
1,10,12
1,10,12
1,10,11
2,9,10
1,10,11
1,10,13
1,10,13
1,10,13
1,10,12
1,10,11
1,7,8
1,7,8
1,7,8
1,7,8
1,3,8
1,7,8
1,8,19
1,8,9
1,8,9
1,8,10
1,8,13
1,8,16
1,8,18
1,8,11
1,8,11
1,8,9
1,8,13
1,8,9
1,8,11
1,8,9
1,8,11
1,8,9
2,7,8
4,7,8
4,7,8
4,7,8
1,5,6
0,6,7
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,5,6
1,6,8
1,6,7
1,6,8
1,6,7
1,6,13
1,6,10
1,6,7
1,6,7
1,6,12
1,6,7
1,6,11
1,6,7
2,5,6
1,6,7
1,6,7
1,6,9
1,6,7
1,6,8
1,6,8
2,5,6
1,6,10
1,6,7
2,5,6
4,5,6
1,3,4
0,4,5
1,3,4
0,4,5
1,3,4
2,3,4
1,4,6
1,4,5
1,4,5
1,4,5
1,4,6
1,4,10
1,4,7
1,4,5
2,3,4
1,4,9
1,4,5
2,3,4
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
1,1,2
1,1,2
1,1,2
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
0,2,3
1,1,2
0,2,3
1,2,3
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
